lever_dropped,lever_label,fold,train_years,val_year,test_years,n_features,test_auc,test_ap,test_ap_lift,test_brier_calibrated,test_pos_rate
none_baseline,Baseline,F1,2009-2012,2013,2014-2015,39,0.9174992334139634,0.4193596634360763,18.975361826118395,0.015691759064793587,0.022100219604711518
none_baseline,Baseline,F2,2009-2013,2014,2015-2016,39,0.912961387290897,0.3900052435396042,18.99348150996644,0.014855322428047657,0.02053363641283758
none_baseline,Baseline,F3,2009-2014,2015,2016-2017,39,0.9019071529653697,0.24035559724607128,13.615922619718075,0.015175596810877323,0.017652538425710292
none_baseline,Baseline,F4,2009-2015,2016,2017-2018,39,0.9125616496400634,0.31390508369033626,19.383724872172813,0.013127323240041733,0.016194260172407677
none_baseline,Baseline,F5,2009-2016,2017,2018-2019,39,0.8604045605233768,0.3247337538058515,10.227522330240316,0.02543777786195278,0.031750969914354735
none_baseline,Baseline,F6,2009-2017,2018,2019-2020,39,0.8280470520078097,0.29984743087957505,5.954628260096037,0.04289233312010765,0.050355356838806105
none_baseline,Baseline,F7,2009-2018,2019,2020-2021,39,0.8084679887316377,0.20887145368348134,4.400975402457415,0.04079442098736763,0.04746026382398133
none_baseline,Baseline,F8,2009-2019,2020,2021-2021,39,0.8474434906276935,0.25041622309759326,5.666465939246062,0.03693502023816109,0.04419266360770039
acs_demographics,ACS demographics,F1,2009-2012,2013,2014-2015,29,0.796321045978546,0.4227832963997115,19.130275805475655,0.014652593061327934,0.022100219604711518
acs_demographics,ACS demographics,F2,2009-2013,2014,2015-2016,29,0.7518493010044244,0.34446591315137115,16.775689713489417,0.014918465167284012,0.02053363641283758
acs_demographics,ACS demographics,F3,2009-2014,2015,2016-2017,29,0.6844471755387417,0.18294884555457722,10.363883150545576,0.015434312634170055,0.017652538425710292
acs_demographics,ACS demographics,F4,2009-2015,2016,2017-2018,29,0.7073659254069347,0.2675666164891005,16.52231183397865,0.013530902564525604,0.016194260172407677
acs_demographics,ACS demographics,F5,2009-2016,2017,2018-2019,29,0.6835374595135999,0.24318521816609467,7.659142974909554,0.026367217302322388,0.031750969914354735
acs_demographics,ACS demographics,F6,2009-2017,2018,2019-2020,29,0.6514138424173315,0.19760915353312536,3.9242925865007248,0.044469114392995834,0.050355356838806105
acs_demographics,ACS demographics,F7,2009-2018,2019,2020-2021,29,0.7178197261101333,0.1547659067101215,3.2609575725097297,0.042430631816387177,0.04746026382398133
acs_demographics,ACS demographics,F8,2009-2019,2020,2021-2021,29,0.7747881303001357,0.18855693392607087,4.266702174820157,0.038790423423051834,0.04419266360770039
cra_county_concentration,CRA county concentration,F1,2009-2012,2013,2014-2015,35,0.9158945676376374,0.4149339319745965,18.775104473900218,0.015559416264295578,0.022100219604711518
cra_county_concentration,CRA county concentration,F2,2009-2013,2014,2015-2016,35,0.9148272679917903,0.3889190909354992,18.940585248326883,0.014848197810351849,0.02053363641283758
cra_county_concentration,CRA county concentration,F3,2009-2014,2015,2016-2017,35,0.9017569291394534,0.24256228597805932,13.740929498546,0.0152801014482975,0.017652538425710292
cra_county_concentration,CRA county concentration,F4,2009-2015,2016,2017-2018,35,0.9172315573179463,0.3260057980243078,20.130947295744168,0.013089890591800213,0.016194260172407677
cra_county_concentration,CRA county concentration,F5,2009-2016,2017,2018-2019,35,0.8551977150915908,0.3353277258032485,10.561180546854587,0.02510875277221203,0.031750969914354735
cra_county_concentration,CRA county concentration,F6,2009-2017,2018,2019-2020,35,0.8245128534674653,0.30496461022441146,6.056249610158496,0.04285590723156929,0.050355356838806105
cra_county_concentration,CRA county concentration,F7,2009-2018,2019,2020-2021,35,0.8030667254490713,0.22195031293491205,4.676550340260902,0.04051617160439491,0.04746026382398133
cra_county_concentration,CRA county concentration,F8,2009-2019,2020,2021-2021,35,0.852161460389677,0.2635365764193843,5.963355790427264,0.036649852991104126,0.04419266360770039
fdic_concentration,FDIC concentration,F1,2009-2012,2013,2014-2015,33,0.9189551815222436,0.40913980499940583,18.512929387913495,0.015872355550527573,0.022100219604711518
fdic_concentration,FDIC concentration,F2,2009-2013,2014,2015-2016,33,0.9117122075081721,0.3876254226536663,18.877582852851322,0.01496049016714096,0.02053363641283758
fdic_concentration,FDIC concentration,F3,2009-2014,2015,2016-2017,33,0.9010768629552752,0.24302089327510606,13.766909178407724,0.015057867392897606,0.017652538425710292
fdic_concentration,FDIC concentration,F4,2009-2015,2016,2017-2018,33,0.9179014323467736,0.32087670003786345,19.814224090618474,0.012981942854821682,0.016194260172407677
fdic_concentration,FDIC concentration,F5,2009-2016,2017,2018-2019,33,0.8573046180276047,0.3224008898641122,10.154048545091957,0.025540128350257874,0.031750969914354735
fdic_concentration,FDIC concentration,F6,2009-2017,2018,2019-2020,33,0.8258856532652906,0.29355616159028225,5.829690821772802,0.042994461953639984,0.050355356838806105
fdic_concentration,FDIC concentration,F7,2009-2018,2019,2020-2021,33,0.8088236304079706,0.20504949386628063,4.320445723326776,0.04084380343556404,0.04746026382398133
fdic_concentration,FDIC concentration,F8,2009-2019,2020,2021-2021,33,0.8519704275271944,0.25647144758983925,5.803484711094675,0.03680180758237839,0.04419266360770039
hmda,HMDA lending flow,F1,2009-2012,2013,2014-2015,24,0.9171310161189894,0.42176270092424517,19.084095473618284,0.015558372251689434,0.022100219604711518
hmda,HMDA lending flow,F2,2009-2013,2014,2015-2016,24,0.9202824039331841,0.4032681060914512,19.63939060688388,0.014735616743564606,0.02053363641283758
hmda,HMDA lending flow,F3,2009-2014,2015,2016-2017,24,0.903200556219881,0.25049408613331087,14.19025865245959,0.015032697468996048,0.017652538425710292
hmda,HMDA lending flow,F4,2009-2015,2016,2017-2018,24,0.9140855322543764,0.32118098594475786,19.83301382868955,0.013131729327142239,0.016194260172407677
hmda,HMDA lending flow,F5,2009-2016,2017,2018-2019,24,0.8601231767105824,0.3237631335351368,10.196952546912977,0.025571906939148903,0.031750969914354735
hmda,HMDA lending flow,F6,2009-2017,2018,2019-2020,24,0.8194183014646872,0.3031589874667677,6.020391999945868,0.04284389317035675,0.050355356838806105
hmda,HMDA lending flow,F7,2009-2018,2019,2020-2021,24,0.8189217314717341,0.23245637297897337,4.897915735173702,0.040298327803611755,0.04746026382398133
hmda,HMDA lending flow,F8,2009-2019,2020,2021-2021,24,0.8405265477128964,0.25217500882519855,5.706264077308481,0.03699978068470955,0.04419266360770039
place_persistent_pov,Persistent poverty,F1,2009-2012,2013,2014-2015,38,0.9198465717721029,0.4306006907893395,19.48400054348511,0.015463020652532578,0.022100219604711518
place_persistent_pov,Persistent poverty,F2,2009-2013,2014,2015-2016,38,0.9215237060298409,0.40804071069889286,19.871819218722834,0.014680064283311367,0.02053363641283758
place_persistent_pov,Persistent poverty,F3,2009-2014,2015,2016-2017,38,0.9029898495747601,0.24894875299389013,14.102716957200057,0.015056730248034,0.017652538425710292
place_persistent_pov,Persistent poverty,F4,2009-2015,2016,2017-2018,38,0.9111400048672984,0.3231554543429569,19.954937792932338,0.013136332854628563,0.016194260172407677
place_persistent_pov,Persistent poverty,F5,2009-2016,2017,2018-2019,38,0.8593163739405101,0.3181629908933661,10.020575489554522,0.02563037909567356,0.031750969914354735
place_persistent_pov,Persistent poverty,F6,2009-2017,2018,2019-2020,38,0.8277247429275736,0.2943747581212859,5.845947215975787,0.0430513471364975,0.050355356838806105
place_persistent_pov,Persistent poverty,F7,2009-2018,2019,2020-2021,38,0.810430913117676,0.20719892070763257,4.365734701266798,0.04085244983434677,0.04746026382398133
place_persistent_pov,Persistent poverty,F8,2009-2019,2020,2021-2021,38,0.8531727517014353,0.2624308205279679,5.938334535740462,0.036718860268592834,0.04419266360770039
place_rural,Rurality / place type,F1,2009-2012,2013,2014-2015,37,0.9202181126534673,0.3820051774373146,17.285130386481562,0.016339357942342758,0.022100219604711518
